City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kapuskasing,49.4169,-82.4331,14.05,82,40,3.09,CA,1683865657
83,kailua-kona,19.6406,-155.9956,26.98,80,40,3.6,US,1683865645
84,afaahiti,-17.75,-149.2833,25.93,94,100,10.98,PF,1683865659
85,cobija,-11.0267,-68.7692,21.62,90,51,0.96,BO,1683865659
86,dunedin,-45.8742,170.5036,13.78,71,99,4.92,NZ,1683865382
87,dhidhdhoo,6.8833,73.1,28.71,76,99,2.79,MV,1683865405
88,howard springs,-12.497,131.047,30.55,31,15,4.41,AU,1683865660
89,kotido,2.9806,34.1331,19.5,74,59,2.93,UG,1683865661
90,port mathurin,-19.6833,63.4167,25.51,77,70,10.07,MU,1683865661
91,codrington,-38.2667,141.9667,15.21,58,59,3.53,AU,1683865661
92,dalnegorsk,44.5604,135.5701,17.66,39,14,4.01,RU,1683865662
93,albufeira,37.0882,-8.2503,19.91,67,1,7.01,PT,1683865662
94,punta arenas,-53.15,-70.9167,8.06,76,75,8.75,CL,1683865461
95,savanna-la-mar,18.219,-78.1332,26.97,86,75,1.23,JM,1683865664
96,hammerfest,70.6634,23.6821,5.25,100,75,9.26,NO,1683865664
97,tongliao,43.6125,122.2653,23.02,24,91,10.36,CN,1683865664
98,iskateley,67.6803,53.1512,0.6,100,100,2.87,RU,1683865665
99,buka,40.8108,69.1986,25.56,32,100,3.05,UZ,1683865665
100,cockburn town,21.4612,-71.1419,26.7,78,27,6.16,TC,1683865666
101,lyantor,61.6195,72.1555,-0.04,52,83,3.46,RU,1683865666
102,katsuura,35.1333,140.3,17.96,53,96,3.18,JP,1683865666
103,nyaungdon,17.0333,95.65,24.98,92,100,2.27,MM,1683865667
104,whitehorse,60.7161,-135.0538,12.79,39,75,7.72,CA,1683865506
105,bayganin,48.6947,55.8742,15.88,77,99,6.71,KZ,1683865668
106,korla,41.7597,86.1469,23.52,11,76,6.37,CN,1683865668
107,hawaiian paradise park,19.5933,-154.9731,23.35,85,100,2.06,US,1683865668
108,collie,-33.3667,116.15,17.97,36,98,3.17,AU,1683865669
109,iranshahr,27.2025,60.6848,31.19,15,0,2.06,IR,1683865669
110,touros,-5.1989,-35.4608,25.8,80,90,3.82,BR,1683865670
111,sovetskiy,61.3614,63.5842,7.89,39,27,3.39,RU,1683865670
112,badger,64.8,-147.5333,15.14,42,40,2.57,US,1683865671
113,invercargill,-46.4,168.35,11.86,79,83,3.88,NZ,1683865672
114,boa vista,2.8197,-60.6733,25.99,89,75,1.03,BR,1683865589
115,saint-denis,48.9167,2.3333,10.64,81,0,3.09,FR,1683865673
116,camapua,-19.5314,-54.0439,17.53,72,62,2.36,BR,1683865673
117,klyuchi,52.2667,79.1667,14.5,41,96,3.55,RU,1683865674
118,cabo san lucas,22.8909,-109.9124,24.61,66,10,7.6,MX,1683865468
119,kyren,51.6828,102.1408,17.2,38,45,2.49,RU,1683865675
120,newnham,-41.3833,147.1333,17.14,69,76,4.12,AU,1683865675
121,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,65,75,4.0,RU,1683865675
122,alice springs,-23.7,133.8833,21.75,18,0,3.6,AU,1683865676
123,gadzhiyevo,69.2551,33.3362,3.62,100,100,3.15,RU,1683865676
124,argo,37.6333,22.7333,13.21,87,11,1.89,GR,1683865677
125,port elizabeth,-33.918,25.5701,14.62,88,0,6.69,ZA,1683865677
126,prince rupert,54.3161,-130.3201,13.05,56,100,8.23,CA,1683865678
127,siwa oasis,29.2041,25.5195,18.56,66,0,2.59,EG,1683865678
128,holualoa,19.6228,-155.9522,24.91,81,40,3.6,US,1683865428
129,ksar el kebir,35.0017,-5.9053,15.33,96,95,2.21,MA,1683865679
130,port augusta,-32.5,137.7667,20.39,41,7,3.93,AU,1683865679
131,sa'dah,16.9402,43.7639,20.63,32,34,3.02,YE,1683865679
132,konarka,19.9,86.1167,32.22,58,100,3.92,IN,1683865680
133,balykshi,47.0667,51.8667,13.0,62,0,6.0,KZ,1683865680
134,rosalie,15.3667,-61.2667,25.07,82,85,3.37,DM,1683865681
135,romilly-sur-seine,48.5108,3.7263,9.68,95,96,2.06,FR,1683865681
136,mapastepec,15.4333,-92.9,26.4,85,61,2.25,MX,1683865682
137,ta`u,-14.2336,-169.5144,27.82,75,23,4.37,AS,1683865682
138,prado,-17.3411,-39.2208,23.03,84,87,1.08,BR,1683865683
139,saint-philippe,-21.3585,55.7679,24.77,77,94,4.47,RE,1683865683
140,faaa,-17.55,-149.6,26.98,74,75,1.03,PF,1683865684
141,salinas,36.6777,-121.6555,15.31,80,0,4.12,US,1683865521
142,kingston,17.997,-76.7936,27.53,84,20,4.63,JM,1683865403
143,q'vareli,41.9549,45.8172,14.94,99,100,1.23,GE,1683865686
144,ribeira grande,38.5167,-28.7,16.54,85,56,3.13,PT,1683865686
145,vrnograc,45.1636,15.9536,10.27,99,100,0.99,BA,1683865687
146,oodweyne,9.4092,45.064,23.97,65,99,5.0,SO,1683865687
147,shimokizukuri,40.8061,140.3861,18.23,50,73,4.38,JP,1683865688
148,anadyr,64.75,177.4833,4.28,65,0,2.0,RU,1683865688
149,sitka,57.0531,-135.33,12.94,50,100,9.26,US,1683865689
150,san antonio de pale,-1.4014,5.6325,28.02,80,93,4.96,GQ,1683865689
151,ratnagiri,16.9833,73.3,30.83,65,100,2.86,IN,1683865690
152,reggane,26.7158,0.1714,28.93,15,99,4.38,DZ,1683865691
153,mujiayingzi,42.1167,118.7833,22.83,18,71,6.27,CN,1683865691
154,yanbu,24.0891,38.0637,24.02,38,0,0.0,SA,1683865692
155,fada n'gourma,12.0622,0.3578,29.75,52,100,5.47,BF,1683865692
156,la rioja,42.25,-2.5,5.88,90,87,2.04,ES,1683865693
157,hadibu,12.65,54.0333,28.57,71,100,0.5,YE,1683865693
158,karaton,-6.3424,106.1045,31.14,59,70,3.5,ID,1683865694
159,torghay,49.6339,63.4981,18.4,48,74,4.75,KZ,1683865695
160,kachug,53.9606,105.8817,13.67,27,78,5.19,RU,1683865696
161,mejit,10.2753,170.8646,27.29,81,79,7.52,MH,1683865696
162,goz beida,13.95,20.55,29.51,43,99,1.43,TD,1683865697
163,faya-largeau,17.9257,19.1043,27.01,24,80,7.6,TD,1683865697
164,udachny,66.4167,112.4,5.25,44,100,7.43,RU,1683865698
165,port alfred,-33.5906,26.891,15.1,98,100,1.34,ZA,1683865699
166,ushuaia,-54.8,-68.3,8.81,66,100,1.03,AR,1683865690
167,westport,41.1415,-73.3579,18.09,75,0,2.57,US,1683865701
168,ujszasz,47.3,20.0833,11.66,95,100,2.81,HU,1683865701
169,bikenibeu village,1.3673,173.1241,30.98,74,20,5.14,KI,1683865702
170,el calafate,-50.3408,-72.2768,6.53,85,52,4.76,AR,1683865703
171,micheweni,-4.9667,39.8333,25.42,87,40,3.97,TZ,1683865704
172,casper,42.8666,-106.3131,9.29,89,100,4.12,US,1683865529
173,sokcho,38.2083,128.5911,14.34,88,75,3.09,KR,1683865706
174,nizhyn,51.048,31.8869,8.06,83,1,2.17,UA,1683865707
175,gazojak,41.1875,61.4036,27.73,25,8,5.51,TM,1683865709
176,hermanus,-34.4187,19.2345,9.89,75,93,7.67,ZA,1683865710
177,port hueneme,34.1478,-119.1951,16.08,86,0,2.06,US,1683865710
178,isiolo,0.3546,37.5822,19.34,73,97,1.73,KE,1683865711
179,harper,4.375,-7.7169,27.15,84,99,2.76,LR,1683865712
180,ulladulla,-35.35,150.4667,20.98,52,15,3.49,AU,1683865712
181,mermoz boabab,14.7065,-17.4758,22.31,88,57,6.57,SN,1683865713
182,roscommon,53.6333,-8.1833,7.98,96,0,2.27,IE,1683865715
183,gatton,-27.55,152.2833,23.01,35,12,4.63,AU,1683865716
184,lapinlahti,65.5833,30.5667,4.18,90,24,3.22,RU,1683865717
185,kamen'-na-obi,53.7884,81.3423,13.78,45,13,4.19,RU,1683865718
186,jayapura,-2.5333,140.7,34.66,81,100,3.44,ID,1683865719
187,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1683865721
188,santa maria do para,-1.3503,-47.5756,22.62,96,60,1.58,BR,1683865722
189,velyka lepetykha,47.1757,33.9436,10.79,67,5,3.6,UA,1683865725
190,brookings,44.3114,-96.7984,19.54,88,100,3.6,US,1683865727
191,lincoln,40.8,-96.667,19.95,94,100,4.12,US,1683865728
192,bardai,11.65,7.2333,25.76,61,43,3.95,NG,1683865729
193,lekeitio,43.3666,-2.5007,13.55,89,73,4.07,ES,1683865730
194,alesund,62.4723,6.1549,10.18,99,100,0.0,NO,1683865731
195,belyy yar,53.6039,91.3903,9.94,71,0,7.0,RU,1683865732
196,baise city,23.8997,106.6133,28.52,99,96,0.93,CN,1683865733
197,aku,6.7081,7.3167,23.42,96,64,1.5,NG,1683865734
198,bollnas,61.3482,16.3946,11.04,66,64,1.28,SE,1683865735
199,kinkala,-4.3614,14.7644,21.8,94,100,0.52,CG,1683865736
200,tolanaro,-25.0319,46.9987,24.04,88,40,8.23,MG,1683865737
201,utrik,11.2278,169.8474,27.5,79,86,7.48,MH,1683865738
202,orcopampa,-15.2661,-72.3417,5.94,77,76,1.06,PE,1683865738
203,mandalgovi,45.7625,106.2708,10.56,27,7,3.95,MN,1683865739
204,mounana,-1.4085,13.1586,21.34,95,100,0.49,GA,1683865739
205,carnarvon,-24.8667,113.6333,25.09,49,0,3.38,AU,1683865740
206,berani,25.785,68.8069,37.48,25,0,6.76,PK,1683865740
207,thunder bay,48.4001,-89.3168,10.99,87,20,9.26,CA,1683865717
208,kodiak,57.79,-152.4072,6.73,81,100,8.75,US,1683865742
209,raja,8.4596,25.678,23.84,67,33,1.99,SS,1683865743
210,sarangani,5.4033,125.4636,29.04,74,17,2.32,PH,1683865744
211,malaryta,51.7905,24.074,6.86,77,0,2.93,BY,1683865745
212,ravar,31.2656,56.8055,26.53,16,13,1.26,IR,1683865745
213,santa cruz,-17.8,-63.1667,20.7,88,75,2.57,BO,1683865746
214,saipan,15.1355,145.701,33.39,100,40,4.63,MP,1683865746
215,maun,-19.9833,23.4167,13.98,54,0,2.57,BW,1683865747
216,george town,5.4112,100.3354,33.97,70,20,2.57,MY,1683865610
217,chonchi,-42.6128,-73.8092,12.84,98,100,1.2,CL,1683865748
218,khandyga,62.6667,135.6,5.92,58,100,1.85,RU,1683865749
219,barah,13.7,30.3667,28.49,32,56,3.6,SD,1683865749
220,krylovskaya,46.3194,39.9711,9.15,80,0,1.01,RU,1683865750
221,bhopalwala,32.4289,74.3633,31.09,34,78,0.0,PK,1683865750
222,tommot,58.9564,126.2925,0.84,96,100,2.27,RU,1683865751
223,mount isa,-20.7333,139.5,27.87,24,0,5.66,AU,1683865752
224,grand gaube,-20.0064,57.6608,26.88,68,13,1.79,MU,1683865752
225,aykhal,66.0,111.5,0.72,100,100,8.38,RU,1683865753
226,puerto leguizamo,-0.1934,-74.7819,21.92,97,56,0.2,CO,1683865753
